,ZIP CODE,SALE PRICE Sept 2018,SALE PRICE Oct 2018,SALE PRICE Nov 2018,SALE PRICE Dec 2018,SALE PRICE Jan 2019,SALE PRICE Feb 2019,SALE PRICE,Sales_Price_Change_Sep_Nov,Sales_Price_Change_Nov_Jan
36,11249.0,999062.0,1270000.0,961677.0,984500.0,1590551.0,1462747.0,1517500.0,-3.742010005385051,65.39347410825049
9,11211.0,1200000.0,774429.5,778526.0,995000.0,1250000.0,1359500.0,960000.0,-35.12283333333333,60.559827160557255
34,11237.0,842500.0,850000.0,1225000.0,801250.0,1750000.0,1637500.0,1550000.0,45.40059347181009,42.857142857142854
20,11222.0,2100000.0,1353750.0,1117500.0,1049950.0,1575000.0,1337500.0,1398843.5,-46.785714285714285,40.939597315436245
30,11233.0,917225.0,966000.0,772000.0,900000.0,845000.0,625000.0,735000.0,-15.833083485513368,9.455958549222798
4,11206.0,1235000.0,681799.5,729474.0,749228.0,749228.0,698112.0,1350000.0,-40.93327935222672,2.7079786256946785
33,11236.0,500000.0,550000.0,535000.0,590000.0,500000.0,585000.0,550000.0,7.000000000000001,-6.5420560747663545
5,11207.0,650000.0,515000.0,580000.0,499999.0,488125.0,590585.0,480000.0,-10.76923076923077,-15.84051724137931
10,11212.0,515000.0,450000.0,696500.0,613740.0,537500.0,717500.0,610250.0,35.24271844660194,-22.82842785355348
