Zipcode,StateName,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
11206,New York,5.0,12,6,9.0,11.0,17.0,11.0
11221,New York,8.0,4,4,4.0,1.0,2.0,4.0
11207,New York,5.0,17,7,10.0,13.0,12.0,11.0
11211,New York,11.0,23,13,14.0,18.0,20.0,6.0
11236,New York,16.0,22,8,18.0,20.0,23.0,22.0
11237,New York,4.0,1,1,1.0,1.0,1.0,2.0
11239,New York,1.0,0,1,0.0,0.0,0.0,1.0
